NumberWithDash,EPM_ProductionControlItemID,EPM_MainMark,EPM_InstanceNumber,Assembly_MainPieceProductionCode,Assembly_MainPartLengthFt,Assembly_WeightEachLbs,Assembly_SurfaceAreaEachSqFt,Assembly_MainPartShape,Assembly_MainPartDimension,Assembly_MainPartFinishDescr,Assembly_TotalQuantityInJob,Assembly_NumSmallParts,EPM_AdjustedStationName,TimeInSeconds_ThisWorkSegment,Assembly_EstTotalHours_ThisLaborGroup
23-011,747069,S1103,1,HSS STRUT,9.65,193.297,23.76,HSSR,6 5/8 x 0.188,E - Exterior Exposed,2,11,Fab/Layout,612,0.0
23-011,747069,S1103,2,HSS STRUT,9.65,193.297,23.76,HSSR,6 5/8 x 0.188,E - Exterior Exposed,2,11,Fab/Layout,612,0.0
23-011,747076,S1104,2,HSS STRUT,18.87,312.655,39.77,HSSR,6 5/8 x 0.188,E - Exterior Exposed,4,11,Weld,11,0.0
23-011,747076,S1104,4,HSS STRUT,18.87,312.655,39.77,HSSR,6 5/8 x 0.188,E - Exterior Exposed,4,11,Fab/Layout,25,0.0
23-011,747267,HB1036,1,H BRACE,26.39,737.13,85.79,HSSR,8 5/8 x 0.188,E - Exterior Exposed,2,15,Fab/Layout,10,0.0
23-011,747267,HB1036,1,H BRACE,26.39,737.13,85.79,HSSR,8 5/8 x 0.188,E - Exterior Exposed,2,15,Weld,74,0.0
23-011,747267,HB1036,2,H BRACE,26.39,737.13,85.79,HSSR,8 5/8 x 0.188,E - Exterior Exposed,2,15,Fab/Layout,447,0.0
23-011,747267,HB1036,2,H BRACE,26.39,737.13,85.79,HSSR,8 5/8 x 0.188,E - Exterior Exposed,2,15,Weld,87,0.0
23-011,748574,TC1059,1,TRUSS CHORD,25.68,4611.766,452.55,W,14 x 74,E - Exterior Exposed,1,42,Fab/Layout,60,0.0
23-012,852061,SS139,1,ALUM STRINGER,4.17,82.224,27.52,AC,12 x 8.639,N - No Paint,1,9,Fab/Layout,1394,0.0
23-012,852061,SS139,1,ALUM STRINGER,4.17,82.224,27.52,AC,12 x 8.639,N - No Paint,1,9,Weld,4204,9.633780000000002
23-013,862901,T106,1,TUBE STEEL,16.0,140.96,16.0,HSS,3 x 3 x 0.25,G - Galvanized,2,1,Fab/Layout,20,0.0
23-013,862901,T106,2,TUBE STEEL,16.0,140.96,16.0,HSS,3 x 3 x 0.25,G - Galvanized,2,1,Fab/Layout,5,0.0
23-013,862902,T107,1,TUBE STEEL,8.49,46.526,5.66,HSS,2 x 2 x 0.25,G - Galvanized,2,1,Fab/Layout,25,0.0
23-013,862902,T107,2,TUBE STEEL,8.49,46.526,5.66,HSS,2 x 2 x 0.25,G - Galvanized,2,1,Fab/Layout,25,0.0
23-013,862906,T110,1,TUBE STEEL,3.75,255.89,30.27,HSS,3 x 3 x 0.25,G - Galvanized,1,12,Fab/Layout,9135,0.0
23-013,862906,T110,1,TUBE STEEL,3.75,255.89,30.27,HSS,3 x 3 x 0.25,G - Galvanized,1,12,Material Handling,19,0.0
23-013,862906,T110,1,TUBE STEEL,3.75,255.89,30.27,HSS,3 x 3 x 0.25,G - Galvanized,1,12,Weld,3418,0.0
23-013,862918,T120,1,TUBE STEEL,3.75,255.89,30.27,HSS,3 x 3 x 0.25,G - Galvanized,1,12,Fab/Layout,3110,0.0
23-013,862918,T120,1,TUBE STEEL,3.75,255.89,30.27,HSS,3 x 3 x 0.25,G - Galvanized,1,12,Material Handling,12,0.0
23-013,862918,T120,1,TUBE STEEL,3.75,255.89,30.27,HSS,3 x 3 x 0.25,G - Galvanized,1,12,Weld,3734,0.0
23-013,862930,T121,1,TUBE STEEL,3.75,198.836,23.19,HSS,3 x 3 x 0.25,G - Galvanized,1,9,Fab/Layout,3423,0.0
23-013,862930,T121,1,TUBE STEEL,3.75,198.836,23.19,HSS,3 x 3 x 0.25,G - Galvanized,1,9,Material Handling,11,0.0
23-013,862930,T121,1,TUBE STEEL,3.75,198.836,23.19,HSS,3 x 3 x 0.25,G - Galvanized,1,9,Weld,1328,0.0
