NumberWithDash,EPM_ProductionControlItemID,EPM_MainMark,EPM_InstanceNumber,Assembly_MainPieceProductionCode,Assembly_MainPartLengthFt,Assembly_WeightEachLbs,Assembly_SurfaceAreaEachSqFt,Assembly_MainPartShape,Assembly_MainPartDimension,Assembly_MainPartFinishDescr,Assembly_TotalQuantityInJob,Assembly_NumSmallParts,EPM_AdjustedStationName,TimeInSeconds_ThisWorkSegment,Assembly_EstTotalHours_ThisLaborGroup
23-121,908979,20A107,5,ANGLE,2.5,25.75,4.17,L,6 x 4 x 5/16,G - Galvanized,5,1,Fab/Layout,61,0.0
23-121,908980,20A108,1,ANGLE,5.67,18.077,3.78,L,2 x 2 x 1/4,G - Galvanized,10,1,Fab/Layout,226,0.0
23-121,908980,20A108,2,ANGLE,5.67,18.077,3.78,L,2 x 2 x 1/4,G - Galvanized,10,1,Fab/Layout,226,0.0
23-121,908980,20A108,3,ANGLE,5.67,18.077,3.78,L,2 x 2 x 1/4,G - Galvanized,10,1,Fab/Layout,226,0.0
23-121,908980,20A108,4,ANGLE,5.67,18.077,3.78,L,2 x 2 x 1/4,G - Galvanized,10,1,Fab/Layout,227,0.0
23-121,908980,20A108,5,ANGLE,5.67,18.077,3.78,L,2 x 2 x 1/4,G - Galvanized,10,1,Fab/Layout,226,0.0
23-121,908981,20A109,1,ANGLE,2.5,25.75,4.17,L,6 x 4 x 5/16,G - Galvanized,5,1,Fab/Layout,110,0.0
23-121,908981,20A109,2,ANGLE,2.5,25.75,4.17,L,6 x 4 x 5/16,G - Galvanized,5,1,Fab/Layout,110,0.0
23-121,908981,20A109,3,ANGLE,2.5,25.75,4.17,L,6 x 4 x 5/16,G - Galvanized,5,1,Fab/Layout,110,0.0
23-121,908981,20A109,4,ANGLE,2.5,25.75,4.17,L,6 x 4 x 5/16,G - Galvanized,5,1,Fab/Layout,110,0.0
23-121,908981,20A109,5,ANGLE,2.5,25.75,4.17,L,6 x 4 x 5/16,G - Galvanized,5,1,Fab/Layout,109,0.0
23-121,908984,20B101,1,BEAM,37.06,1265.825,168.9,W,14 x 34,G - Galvanized,1,5,Fab/Layout,1302,0.0
23-121,908984,20B101,1,BEAM,37.06,1265.825,168.9,W,14 x 34,G - Galvanized,1,5,Material Handling,2,0.0
23-121,908984,20B101,1,BEAM,37.06,1265.825,168.9,W,14 x 34,G - Galvanized,1,5,Weld,394,0.0
23-121,908986,20C101,1,BOLLARD,3.94,96.08,8.43,PI,6SCH40,G - Galvanized,2,2,Fab/Layout,570,0.0
23-121,908986,20C101,1,BOLLARD,3.94,96.08,8.43,PI,6SCH40,G - Galvanized,2,2,Material Handling,1,0.0
23-121,908986,20C101,1,BOLLARD,3.94,96.08,8.43,PI,6SCH40,G - Galvanized,2,2,Weld,244,0.0
23-121,908986,20C101,2,BOLLARD,3.94,96.08,8.43,PI,6SCH40,G - Galvanized,2,2,Fab/Layout,441,0.0
23-121,908986,20C101,2,BOLLARD,3.94,96.08,8.43,PI,6SCH40,G - Galvanized,2,2,Material Handling,1,0.0
23-121,908986,20C101,2,BOLLARD,3.94,96.08,8.43,PI,6SCH40,G - Galvanized,2,2,Weld,171,0.0
23-136,797745,34A-15-01,3,FRAME,14.5,2013.979,220.01,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,71,Fab After Galv,19148,0.0
23-136,797745,34A-15-01,3,FRAME,14.5,2013.979,220.01,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,71,Fab After Galv - Check,297,0.0
23-136,797745,34A-15-01,4,FRAME,14.5,2013.979,220.01,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,71,Fab After Galv,83860,0.0
23-136,797745,34A-15-01,4,FRAME,14.5,2013.979,220.01,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,71,Fab After Galv - Check,331,0.0
23-136,797745,34A-15-01,5,FRAME,14.5,2013.979,220.01,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,71,Fab After Galv,18728,0.0
23-136,797745,34A-15-01,5,FRAME,14.5,2013.979,220.01,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,71,Fab After Galv - Check,251,0.0
23-136,797745,34A-15-01,6,FRAME,14.5,2013.979,220.01,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,71,Fab After Galv,26004,0.0
23-136,797745,34A-15-01,6,FRAME,14.5,2013.979,220.01,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,71,Fab After Galv - Check,869,0.0
23-136,797774,34A-15-02,2,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Fab/Layout,3470,0.0
23-136,797774,34A-15-02,2,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Weld,2191,0.0
23-136,797774,34A-15-02,3,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Fab/Layout,25440,0.0
23-136,797774,34A-15-02,3,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Material Handling,23,0.0
23-136,797774,34A-15-02,3,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Weld,28300,0.0
23-136,797774,34A-15-02,4,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Fab/Layout,70364,0.0
23-136,797774,34A-15-02,4,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Material Handling,4,0.0
23-136,797774,34A-15-02,4,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Weld,36557,0.0
23-136,797774,34A-15-02,5,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Fab/Layout,25343,0.0
23-136,797774,34A-15-02,5,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Material Handling,8,0.0
23-136,797774,34A-15-02,5,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Weld,30913,0.0
23-136,797774,34A-15-02,6,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Fab/Layout,35577,0.0
23-136,797774,34A-15-02,6,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Material Handling,8,0.0
23-136,797774,34A-15-02,6,FRAME,12.71,2509.907,273.43,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,69,Weld,26007,0.0
23-136,797803,34A-15-03,2,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Fab/Layout,58534,0.0
23-136,797803,34A-15-03,2,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Material Handling,6,0.0
23-136,797803,34A-15-03,2,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Weld,14364,0.0
23-136,797803,34A-15-03,3,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Fab/Layout,69907,0.0
23-136,797803,34A-15-03,3,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Material Handling,6,0.0
23-136,797803,34A-15-03,3,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Weld,53833,0.0
23-136,797803,34A-15-03,4,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Fab/Layout,63088,0.0
23-136,797803,34A-15-03,4,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Material Handling,2,0.0
23-136,797803,34A-15-03,4,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Weld,51492,0.0
23-136,797803,34A-15-03,5,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Fab/Layout,18782,0.0
23-136,797803,34A-15-03,5,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Material Handling,6,0.0
23-136,797803,34A-15-03,5,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Weld,26415,0.0
23-136,797803,34A-15-03,6,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Fab/Layout,37019,0.0
23-136,797803,34A-15-03,6,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Material Handling,2,0.0
23-136,797803,34A-15-03,6,FRAME,12.71,2514.99,274.39,HSS,6 x 6 x 0.25,GF - Fabrication Req'd After Galvanizing,17,80,Weld,43266,0.0
23-136,805336,44A-16-02,1,FRAME,40.95,8287.019,783.52,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,136,Fab/Layout,43346,0.0
23-136,805359,44A-16-03,1,FRAME,40.95,8287.911,782.14,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,133,Weld,3059,0.0
23-136,805441,44A-16-07,1,FRAME,40.95,6401.298,728.14,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,120,Fab/Layout,20,0.0
23-136,805441,44A-16-07,1,FRAME,40.95,6401.298,728.14,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,120,Weld,1585,0.0
23-136,805468,44A-16-08,1,FRAME,40.95,7341.966,728.75,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,119,Weld,7223,0.0
23-136,805493,44A-16-09,1,FRAME,28.84,5448.615,546.54,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,105,Weld,494,0.0
23-136,805511,44A-16-11,1,FRAME,40.61,7531.893,812.9,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,149,Weld,2864,0.0
23-136,805561,44A-16-13,1,FRAME,40.69,7353.624,743.41,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,123,Fab/Layout,14788,0.0
23-136,805561,44A-16-13,1,FRAME,40.69,7353.624,743.41,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,123,Weld,13214,0.0
23-136,805632,44A-16-16,1,FRAME,40.61,7340.619,794.03,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,147,Fab/Layout,28026,0.0
23-136,805632,44A-16-16,1,FRAME,40.61,7340.619,794.03,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,147,Weld,18506,0.0
23-136,805650,44A-16-17,1,FRAME,40.6,7397.369,805.86,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,150,Fab/Layout,55942,0.0
23-136,805650,44A-16-17,1,FRAME,40.6,7397.369,805.86,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,150,Material Handling,4,0.0
23-136,805650,44A-16-17,1,FRAME,40.6,7397.369,805.86,HSS,6 x 6 x 0.313,"D - Steel, Paint All",2,150,Weld,67758,0.0
23-136,902952,HR182,1,RAIL,13.67,186.099,35.87,PI,1 1/4SCH40,"D - Steel, Paint All",1,50,Fab/Layout,23039,2.23235625
23-136,902952,HR182,1,RAIL,13.67,186.099,35.87,PI,1 1/4SCH40,"D - Steel, Paint All",1,50,Material Handling,1367,0.316785
23-136,902968,HR361,1,RAIL,9.96,78.906,15.11,PI,1 1/4SCH40,"D - Steel, Paint All",1,8,Fab/Layout,8337,1.8770400000000003
23-136,902968,HR361,1,RAIL,9.96,78.906,15.11,PI,1 1/4SCH40,"D - Steel, Paint All",1,8,Material Handling,1078,0.032825
23-137,769816,B154,1,BEAM,21.75,495.0,88.01,W,14 x 22,"D - Steel, Paint All",1,15,Fab/Layout,700,4.48383
23-137,769816,B154,1,BEAM,21.75,495.0,88.01,W,14 x 22,"D - Steel, Paint All",1,15,Weld,256,2.11491
23-137,769888,B208,1,BEAM,26.95,593.289,105.59,W,14 x 22,"D - Steel, Paint All",1,5,Fab/Layout,3558,4.06938
23-137,769888,B208,1,BEAM,26.95,593.289,105.59,W,14 x 22,"D - Steel, Paint All",1,5,Weld,2354,1.40602
23-137,770061,B350,1,BEAM,30.74,2585.243,237.5,W,27 x 84,"D - Steel, Paint All",1,5,Weld,119,0.0
23-137,770068,B1018,1,BEAM,19.28,509.791,86.24,W,16 x 26,"B - Steel, No Paint Wide Flange Beam Tops",1,5,Fab/Layout,10100,5.154119999999999
23-137,770068,B1018,1,BEAM,19.28,509.791,86.24,W,16 x 26,"B - Steel, No Paint Wide Flange Beam Tops",1,5,Material Handling,5,0.7437199999999999
23-137,770083,B372,1,BEAM,26.42,1202.667,151.93,W,21 x 44,"D - Steel, Paint All",1,5,Fab/Layout,401,0.0
23-137,770083,B372,1,BEAM,26.42,1202.667,151.93,W,21 x 44,"D - Steel, Paint All",1,5,Weld,536,0.0
23-137,770091,B381,1,BEAM,13.36,293.677,52.22,W,14 x 22,"D - Steel, Paint All",1,2,Fab/Layout,227,1.40643
23-137,770091,B381,1,BEAM,13.36,293.677,52.22,W,14 x 22,"D - Steel, Paint All",1,2,Weld,913,0.14490999999999998
23-137,770092,B382,1,BEAM,15.13,496.0,71.16,W,16 x 31,"B - Steel, No Paint Wide Flange Beam Tops",1,6,Fab/Layout,5388,7.21366
23-137,770092,B382,1,BEAM,15.13,496.0,71.16,W,16 x 31,"B - Steel, No Paint Wide Flange Beam Tops",1,6,Material Handling,40,12.38534
23-137,770092,B382,1,BEAM,15.13,496.0,71.16,W,16 x 31,"B - Steel, No Paint Wide Flange Beam Tops",1,6,Weld,4235,2.58078
23-137,770100,B387,1,BEAM,26.58,1093.334,134.96,W,18 x 40,"D - Steel, Paint All",1,5,Fab/Layout,1872,2.68423
23-137,770100,B387,1,BEAM,26.58,1093.334,134.96,W,18 x 40,"D - Steel, Paint All",1,5,Material Handling,6,1.05206
23-137,770100,B387,1,BEAM,26.58,1093.334,134.96,W,18 x 40,"D - Steel, Paint All",1,5,Weld,226,0.0
23-137,770101,B388,1,BEAM,15.2,352.115,62.61,W,14 x 22,"D - Steel, Paint All",1,3,Fab/Layout,4038,6.59348
23-137,770101,B388,1,BEAM,15.2,352.115,62.61,W,14 x 22,"D - Steel, Paint All",1,3,Material Handling,93,0.65321
23-137,770101,B388,1,BEAM,15.2,352.115,62.61,W,14 x 22,"D - Steel, Paint All",1,3,Weld,498,0.54538
23-137,770105,B397,1,BEAM,28.66,771.333,130.78,W,16 x 26,"B - Steel, No Paint Wide Flange Beam Tops",1,8,Weld,22255,10.4176
23-137,770115,B419,1,BEAM,14.77,348.946,61.51,W,14 x 22,"D - Steel, Paint All",1,7,Fab/Layout,2340,2.2889
23-137,770115,B419,1,BEAM,14.77,348.946,61.51,W,14 x 22,"D - Steel, Paint All",1,7,Material Handling,5,1.01823
23-137,770115,B419,1,BEAM,14.77,348.946,61.51,W,14 x 22,"D - Steel, Paint All",1,7,Weld,10089,2.02758
23-137,770117,B420,1,BEAM,25.45,559.969,99.56,W,14 x 22,"D - Steel, Paint All",1,3,Fab/Layout,103,0.0
23-137,770117,B420,1,BEAM,25.45,559.969,99.56,W,14 x 22,"D - Steel, Paint All",1,3,Material Handling,4,1.22882
23-137,770117,B420,1,BEAM,25.45,559.969,99.56,W,14 x 22,"D - Steel, Paint All",1,3,Weld,624,0.72552
23-137,770122,B425,1,BEAM,22.33,491.333,87.36,W,14 x 22,"D - Steel, Paint All",7,1,Material Handling,150,0.63031
23-137,770122,B425,5,BEAM,22.33,491.333,87.36,W,14 x 22,"D - Steel, Paint All",7,1,Fab/Layout,980,0.0
23-137,770122,B425,5,BEAM,22.33,491.333,87.36,W,14 x 22,"D - Steel, Paint All",7,1,Material Handling,5,1.26062
23-137,770122,B425,7,BEAM,22.33,491.333,87.36,W,14 x 22,"D - Steel, Paint All",7,1,Fab/Layout,4402,0.0
23-137,770122,B425,7,BEAM,22.33,491.333,87.36,W,14 x 22,"D - Steel, Paint All",7,1,Material Handling,7,1.26062
23-137,770123,B426,1,BEAM,11.32,275.0,48.9,W,14 x 22,"D - Steel, Paint All",1,3,Fab/Layout,6385,3.7250400000000004
23-137,770123,B426,1,BEAM,11.32,275.0,48.9,W,14 x 22,"D - Steel, Paint All",1,3,Material Handling,17,2.8737999999999997
23-137,770123,B426,1,BEAM,11.32,275.0,48.9,W,14 x 22,"D - Steel, Paint All",1,3,Weld,1865,0.12557
23-137,770127,B431,1,BEAM,25.36,682.636,115.74,W,16 x 26,"D - Steel, Paint All",1,11,Fab/Layout,5620,0.0
23-137,770127,B431,1,BEAM,25.36,682.636,115.74,W,16 x 26,"D - Steel, Paint All",1,11,Material Handling,176,0.0
23-137,770127,B431,1,BEAM,25.36,682.636,115.74,W,16 x 26,"D - Steel, Paint All",1,11,Weld,11136,0.0
23-137,770135,B435,1,BEAM,31.42,1548.0,196.35,W,21 x 48,"D - Steel, Paint All",1,5,Fab/Layout,203,0.0
23-137,770135,B435,1,BEAM,31.42,1548.0,196.35,W,21 x 48,"D - Steel, Paint All",1,5,Weld,62,0.0
23-137,770138,B438,1,BEAM,11.5,411.114,57.62,W,18 x 35,"B - Steel, No Paint Wide Flange Beam Tops",1,3,Fab/Layout,780,1.6621000000000001
23-137,770138,B438,1,BEAM,11.5,411.114,57.62,W,18 x 35,"B - Steel, No Paint Wide Flange Beam Tops",1,3,Material Handling,9,0.53046
23-137,770138,B438,1,BEAM,11.5,411.114,57.62,W,18 x 35,"B - Steel, No Paint Wide Flange Beam Tops",1,3,Weld,710,0.22326
23-137,770145,B447,1,BEAM,6.56,148.5,26.4,W,14 x 22,"B - Steel, No Paint Wide Flange Beam Tops",1,1,Fab/Layout,464,0.0
23-137,770149,B457,1,BEAM,28.74,1631.667,182.28,W,21 x 55,"D - Steel, Paint All",1,15,Fab/Layout,1471,0.0
23-137,770149,B457,1,BEAM,28.74,1631.667,182.28,W,21 x 55,"D - Steel, Paint All",1,15,Weld,6537,0.0
23-137,770164,B472,1,BEAM,17.88,750.833,92.68,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,16,Fab/Layout,8801,27.837960000000002
23-137,770164,B472,1,BEAM,17.88,750.833,92.68,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,16,Material Handling,8,7.2879999999999985
23-137,770164,B472,1,BEAM,17.88,750.833,92.68,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,16,Peddi Assembler,4216,6.959490000000001
23-137,770164,B472,1,BEAM,17.88,750.833,92.68,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,16,Weld,15737,22.642899999999997
23-137,770439,B669,1,BEAM,21.55,835.783,149.2,W,16 x 26,"B - Steel, No Paint Wide Flange Beam Tops",1,5,Fab/Layout,489,4.62378
23-137,770439,B669,1,BEAM,21.55,835.783,149.2,W,16 x 26,"B - Steel, No Paint Wide Flange Beam Tops",1,5,Material Handling,80,1.02333
23-137,770439,B669,1,BEAM,21.55,835.783,149.2,W,16 x 26,"B - Steel, No Paint Wide Flange Beam Tops",1,5,Weld,2286,0.53142
23-137,770487,B700,1,BEAM,26.58,1237.121,156.99,W,21 x 44,"D - Steel, Paint All",1,12,Fab/Layout,147,0.0
23-137,770487,B700,1,BEAM,26.58,1237.121,156.99,W,21 x 44,"D - Steel, Paint All",1,12,Weld,5855,3.9548700000000006
23-137,770500,B1316,1,CHANNEL,13.7,283.547,40.18,C,12 x 20.7,"B - Steel, No Paint Wide Flange Beam Tops",1,1,Fab/Layout,87,0.0
23-137,770500,B1316,1,CHANNEL,13.7,283.547,40.18,C,12 x 20.7,"B - Steel, No Paint Wide Flange Beam Tops",1,1,Material Handling,4,0.48235
23-137,770502,B710,1,BEAM,11.32,294.667,54.23,W,14 x 22,"D - Steel, Paint All",1,5,Fab/Layout,4051,4.38411
23-137,770502,B710,1,BEAM,11.32,294.667,54.23,W,14 x 22,"D - Steel, Paint All",1,5,Material Handling,3,0.6364400000000001
23-137,770502,B710,1,BEAM,11.32,294.667,54.23,W,14 x 22,"D - Steel, Paint All",1,5,Weld,2493,0.23076999999999998
23-137,770508,B713,1,BEAM,14.63,369.062,68.25,W,14 x 22,"D - Steel, Paint All",1,4,Fab/Layout,1895,5.169569999999999
23-137,770508,B713,1,BEAM,14.63,369.062,68.25,W,14 x 22,"D - Steel, Paint All",1,4,Material Handling,5,0.72107
23-137,770508,B713,1,BEAM,14.63,369.062,68.25,W,14 x 22,"D - Steel, Paint All",1,4,Weld,949,0.39932
23-137,770510,B714,1,BEAM,25.36,582.152,103.7,W,14 x 22,"D - Steel, Paint All",1,9,Fab/Layout,10300,4.35129
23-137,770510,B714,1,BEAM,25.36,582.152,103.7,W,14 x 22,"D - Steel, Paint All",1,9,Weld,4229,4.426880000000001
23-137,770514,B716,1,BEAM,26.5,1248.589,164.39,W,21 x 44,"D - Steel, Paint All",1,5,Fab/Layout,3576,2.68285
23-137,770514,B716,1,BEAM,26.5,1248.589,164.39,W,21 x 44,"D - Steel, Paint All",1,5,Material Handling,27,7.391160000000001
23-137,770514,B716,1,BEAM,26.5,1248.589,164.39,W,21 x 44,"D - Steel, Paint All",1,5,Weld,799,0.6697
23-137,770531,B725,1,BEAM,30.25,2224.328,257.33,W,24 x 62,"B - Steel, No Paint Wide Flange Beam Tops",1,6,Weld,126,0.0
23-137,770551,B731,1,BEAM,18.95,797.917,98.49,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,3,Fab/Layout,3369,2.11231
23-137,770551,B731,1,BEAM,18.95,797.917,98.49,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,3,Material Handling,6,0.86827
23-137,770555,B733,1,BEAM,18.16,762.083,94.07,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,14,Fab/Layout,12628,29.751250000000002
23-137,770555,B733,1,BEAM,18.16,762.083,94.07,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,14,Material Handling,8,4.027139999999999
23-137,770555,B733,1,BEAM,18.16,762.083,94.07,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,14,Peddi Assembler,2337,5.9502500000000005
23-137,770566,B740,1,BEAM,16.27,685.417,84.61,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,12,Fab/Layout,660,9.920980000000002
23-137,770566,B740,1,BEAM,16.27,685.417,84.61,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,12,Material Handling,3,5.800399999999999
23-137,770566,B740,1,BEAM,16.27,685.417,84.61,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,12,Peddi Assembler,3332,4.960490000000001
23-137,770566,B740,1,BEAM,16.27,685.417,84.61,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,12,Weld,10482,9.110040000000001
23-137,770568,B742,1,BEAM,16.45,692.708,85.51,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,11,Fab/Layout,1671,18.16304
23-137,770568,B742,1,BEAM,16.45,692.708,85.51,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,11,Material Handling,8,5.652749999999999
23-137,770568,B742,1,BEAM,16.45,692.708,85.51,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,11,Peddi Assembler,2987,4.54076
23-137,770568,B742,1,BEAM,16.45,692.708,85.51,W,18 x 40,"B - Steel, No Paint Wide Flange Beam Tops",1,11,Weld,8214,6.60759
23-137,770579,B753,1,BEAM,20.59,373.594,63.68,W,8 x 18,"B - Steel, No Paint Wide Flange Beam Tops",1,7,Fab/Layout,2739,2.6227500000000004
23-137,770579,B753,1,BEAM,20.59,373.594,63.68,W,8 x 18,"B - Steel, No Paint Wide Flange Beam Tops",1,7,Material Handling,8,1.1709300000000002
23-137,770579,B753,1,BEAM,20.59,373.594,63.68,W,8 x 18,"B - Steel, No Paint Wide Flange Beam Tops",1,7,Weld,2992,0.5980300000000001
23-137,770663,B799,1,BEAM,21.63,562.386,95.35,W,16 x 26,"B - Steel, No Paint Wide Flange Beam Tops",1,4,Fab/Layout,656,2.09137
23-137,770663,B799,1,BEAM,21.63,562.386,95.35,W,16 x 26,"B - Steel, No Paint Wide Flange Beam Tops",1,4,Weld,277,0.25114000000000003
23-137,770684,B815,1,BEAM,33.67,1542.116,237.64,W,18 x 35,"B - Steel, No Paint Wide Flange Beam Tops",1,3,Fab/Layout,304,8.92896
23-137,770752,B849,1,BEAM,26.09,573.948,102.05,W,14 x 22,"D - Steel, Paint All",4,1,Fab/Layout,242,0.0
23-137,770752,B849,2,BEAM,26.09,573.948,102.05,W,14 x 22,"D - Steel, Paint All",4,1,Fab/Layout,21,0.0
23-137,770752,B849,3,BEAM,26.09,573.948,102.05,W,14 x 22,"D - Steel, Paint All",4,1,Fab/Layout,3593,0.0
23-137,770752,B849,4,BEAM,26.09,573.948,102.05,W,14 x 22,"D - Steel, Paint All",4,1,Fab/Layout,11,0.0
23-137,770754,B851,1,BEAM,31.32,1812.511,205.78,W,24 x 55,"D - Steel, Paint All",1,16,Fab/Layout,2826,30.9299
23-137,770754,B851,1,BEAM,31.32,1812.511,205.78,W,24 x 55,"D - Steel, Paint All",1,16,Weld,9726,4.417000000000001
23-137,770756,B852,1,BEAM,26.07,573.604,101.99,W,14 x 22,"D - Steel, Paint All",8,1,Fab/Layout,338,0.0
23-137,770756,B852,2,BEAM,26.07,573.604,101.99,W,14 x 22,"D - Steel, Paint All",8,1,Fab/Layout,19,0.0
23-137,770756,B852,3,BEAM,26.07,573.604,101.99,W,14 x 22,"D - Steel, Paint All",8,1,Fab/Layout,713,0.0
23-137,770756,B852,4,BEAM,26.07,573.604,101.99,W,14 x 22,"D - Steel, Paint All",8,1,Fab/Layout,20,0.0
23-137,770756,B852,5,BEAM,26.07,573.604,101.99,W,14 x 22,"D - Steel, Paint All",8,1,Fab/Layout,425,0.0
23-137,770756,B852,7,BEAM,26.07,573.604,101.99,W,14 x 22,"D - Steel, Paint All",8,1,Fab/Layout,338,0.0
23-137,770759,B854,1,BEAM,25.44,559.74,99.52,W,14 x 22,"D - Steel, Paint All",1,4,Fab/Layout,8248,5.2630799999999995
23-137,770759,B854,1,BEAM,25.44,559.74,99.52,W,14 x 22,"D - Steel, Paint All",1,4,Material Handling,7,2.5068200000000003
23-137,770759,B854,1,BEAM,25.44,559.74,99.52,W,14 x 22,"D - Steel, Paint All",1,4,Weld,8561,1.7250800000000002
23-137,770760,B855,1,BEAM,26.08,573.833,102.03,W,14 x 22,"D - Steel, Paint All",4,1,Fab/Layout,872,0.0
23-137,770760,B855,2,BEAM,26.08,573.833,102.03,W,14 x 22,"D - Steel, Paint All",4,1,Fab/Layout,374,0.0
23-137,770760,B855,3,BEAM,26.08,573.833,102.03,W,14 x 22,"D - Steel, Paint All",4,1,Fab/Layout,14,0.0
23-137,770760,B855,4,BEAM,26.08,573.833,102.03,W,14 x 22,"D - Steel, Paint All",4,1,Fab/Layout,873,0.0
